,AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered
37,38,Sr,Strontium,87.6,00FF00,[Kr]5s2,0.95,249.0,5.695,,+2,Solid,1050.0,1381.85,2.64,Alkaline earth metal,1790
38,39,Y,Yttrium,88.9058,94FFFF,[Kr]5s2 4d1,1.22,219.0,6.2170000000000005,0.307,+3,Solid,1795.0,3344.85,4.47,Transition metal,1794
39,40,Zr,Zirconium,91.22,94E0E0,[Kr]5s2 4d2,1.33,186.0,6.6339999999999995,0.426,+4,Solid,2128.0,4408.85,6.52,Transition metal,1789
40,41,Nb,Niobium,92.9064,73C2C9,[Kr]5s1 4d4,1.6,207.0,6.7589999999999995,0.893,"+5, +3",Solid,2750.0,4743.85,8.57,Transition metal,1801
41,42,Mo,Molybdenum,96.0,54B5B5,[Kr]5s1 4d5,2.16,209.0,7.0920000000000005,0.746,+6,Solid,2896.0,4638.85,10.2,Transition metal,1778
42,43,Tc,Technetium,96.90635999999999,3B9E9E,[Kr]5s2 4d5,1.9,209.0,7.28,0.55,"+7, +6, +4",Solid,2430.0,4264.85,11.0,Transition metal,1937
43,44,Ru,Ruthenium,101.1,248F8F,[Kr]5s1 4d7,2.2,207.0,7.361000000000001,1.05,+3,Solid,2607.0,4149.85,12.1,Transition metal,1827
44,45,Rh,Rhodium,102.9055,0A7D8C,[Kr]5s1 4d8,2.28,195.0,7.459,1.137,+3,Solid,2237.0,3694.85,12.4,Transition metal,1803
45,46,Pd,Palladium,106.4,6985,[Kr]4d10,2.2,202.0,8.337,0.557,"+3, +2",Solid,1828.05,2962.85,12.0,Transition metal,1803
46,47,Ag,Silver,107.868,C0C0C0,[Kr]5s1 4d10,1.93,172.0,7.5760000000000005,1.3019999999999998,+1,Solid,1234.93,2161.85,10.501,Transition metal,Ancient
47,48,Cd,Cadmium,112.41,FFD98F,[Kr]5s2 4d10,1.69,158.0,8.994,,+2,Solid,594.22,766.85,8.69,Transition metal,1817
48,49,In,Indium,114.82,A67573,[Kr]5s2 4d10 5p1,1.78,193.0,5.7860000000000005,0.3,+3,Solid,429.75,2071.85,7.31,Post-transition metal,1863
49,50,Sn,Tin,118.71,668080,[Kr]5s2 4d10 5p2,1.96,217.0,7.343999999999999,1.2,"+4, +2",Solid,505.08,2601.85,7.287000000000001,Post-transition metal,Ancient
50,51,Sb,Antimony,121.76,9E63B5,[Kr]5s2 4d10 5p3,2.05,206.0,8.64,1.07,"+5, +3, -3",Solid,903.78,1586.85,6.685,Metalloid,Ancient
51,52,Te,Tellurium,127.6,D47A00,[Kr]5s2 4d10 5p4,2.1,206.0,9.01,1.9709999999999999,"+6, +4, -2",Solid,722.66,987.85,6.232,Metalloid,1782
52,53,I,Iodine,126.9045,940094,[Kr]5s2 4d10 5p5,2.66,198.0,10.450999999999999,3.0589999999999997,"+7, +5, +1, -1",Solid,386.85,184.40000000000003,4.93,Halogen,1811
53,54,Xe,Xenon,131.29,429EB0,[Kr]5s2 4d10 5p6,2.6,216.0,12.13,,0,Gas,161.36,-108.11999999999998,0.005887,Noble gas,1898
54,55,Cs,Cesium,132.905452,57178F,[Xe]6s1,0.79,343.0,3.8939999999999997,0.47200000000000003,+1,Solid,301.59,670.85,1.93,Alkali metal,1860
55,56,Ba,Barium,137.33,00C900,[Xe]6s2,0.89,268.0,5.212000000000001,,+2,Solid,1000.0,1896.85,3.62,Alkaline earth metal,1808
56,57,La,Lanthanum,138.9055,70D4FF,[Xe]6s2 5d1,1.1,240.0,5.577000000000001,0.5,+3,Solid,1191.0,3463.85,6.15,Lanthanide,1839
57,58,Ce,Cerium,140.12,FFFFC7,[Xe]6s2 4f1 5d1,1.12,235.0,5.539,0.5,"+4, +3",Solid,1071.0,3423.85,6.77,Lanthanide,1803
58,59,Pr,Praseodymium,140.9077,D9FFC7,[Xe]6s2 4f3,1.13,239.0,5.4639999999999995,,+3,Solid,1204.0,3519.85,6.77,Lanthanide,1885
59,60,Nd,Neodymium,144.24,C7FFC7,[Xe]6s2 4f4,1.14,229.0,5.525,,+3,Solid,1294.0,3073.85,7.01,Lanthanide,1885
60,61,Pm,Promethium,144.91276000000002,A3FFC7,[Xe]6s2 4f5,,236.0,5.55,,+3,Solid,1315.0,2999.85,7.26,Lanthanide,1945
61,62,Sm,Samarium,150.4,8FFFC7,[Xe]6s2 4f6,1.17,229.0,5.644,,"+3, +2",Solid,1347.0,1793.85,7.52,Lanthanide,1879
62,63,Eu,Europium,151.96,61FFC7,[Xe]6s2 4f7,,233.0,5.67,,"+3, +2",Solid,1095.0,1528.85,5.24,Lanthanide,1901
63,64,Gd,Gadolinium,157.2,45FFC7,[Xe]6s2 4f7 5d1,1.2,237.0,6.15,,+3,Solid,1586.0,3272.85,7.9,Lanthanide,1880
64,65,Tb,Terbium,158.92535,30FFC7,[Xe]6s2 4f9,,221.0,5.864,,+3,Solid,1629.0,3229.85,8.23,Lanthanide,1843
65,66,Dy,Dysprosium,162.5,1FFFC7,[Xe]6s2 4f10,1.22,229.0,5.939,,+3,Solid,1685.0,2566.85,8.55,Lanthanide,1886
66,67,Ho,Holmium,164.93033,00FF9C,[Xe]6s2 4f11,1.23,216.0,6.022,,+3,Solid,1747.0,2699.85,8.8,Lanthanide,1878
67,68,Er,Erbium,167.26,,[Xe]6s2 4f12,1.24,235.0,6.108,,+3,Solid,1802.0,2867.85,9.07,Lanthanide,1843
68,69,Tm,Thulium,168.93421999999998,00D452,[Xe]6s2 4f13,1.25,227.0,6.184,,+3,Solid,1818.0,1949.85,9.32,Lanthanide,1879
69,70,Yb,Ytterbium,173.0,00BF38,[Xe]6s2 4f14,,242.0,6.254,,"+3, +2",Solid,1092.0,1195.85,6.9,Lanthanide,1878
70,71,Lu,Lutetium,174.967,00AB24,[Xe]6s2 4f14 5d1,1.27,221.0,5.426,,+3,Solid,1936.0,3401.85,9.84,Lanthanide,1907
71,72,Hf,Hafnium,178.49,4DC2FF,[Xe]6s2 4f14 5d2,1.3,212.0,6.825,,+4,Solid,2506.0,4602.85,13.3,Transition metal,1923
72,73,Ta,Tantalum,180.9479,4DA6FF,[Xe]6s2 4f14 5d3,1.5,217.0,7.89,0.322,+5,Solid,3290.0,5457.85,16.4,Transition metal,1802
73,74,W,Tungsten,183.8,2194D6,[Xe]6s2 4f14 5d4,2.36,210.0,7.98,0.815,+6,Solid,3695.0,5554.85,19.3,Transition metal,1783
74,75,Re,Rhenium,186.21,267DAB,[Xe]6s2 4f14 5d5,1.9,217.0,7.88,0.15,"+7, +6, +4",Solid,3459.0,5595.85,20.8,Transition metal,1925
75,76,Os,Osmium,190.2,266696,[Xe]6s2 4f14 5d6,2.2,216.0,8.7,1.1,"+4, +3",Solid,3306.0,5011.85,22.57,Transition metal,1803
76,77,Ir,Iridium,192.22,175487,[Xe]6s2 4f14 5d7,2.2,202.0,9.1,1.565,"+4, +3",Solid,2719.0,4427.85,22.42,Transition metal,1803
77,78,Pt,Platinum,195.08,D0D0E0,[Xe]6s1 4f14 5d9,2.28,209.0,9.0,2.128,"+4, +2",Solid,2041.55,3824.85,21.46,Transition metal,1735
78,79,Au,Gold,196.96657,FFD123,[Xe]6s1 4f14 5d10,2.54,166.0,9.226,2.309,"+3, +1",Solid,1337.33,2855.85,19.282,Transition metal,Ancient
79,80,Hg,Mercury,200.59,B8B8D0,[Xe]6s2 4f14 5d10,2.0,209.0,10.437999999999999,,"+2, +1",Liquid,234.32,356.73,13.5336,Transition metal,Ancient
80,81,Tl,Thallium,204.38299999999998,A6544D,[Xe]6s2 4f14 5d10 6p1,1.62,196.0,6.108,0.2,"+3, +1",Solid,577.0,1472.85,11.8,Post-transition metal,1861
81,82,Pb,Lead,210.0,575961,[Xe]6s2 4f14 5d10 6p2,2.33,202.0,7.417000000000001,0.36,"+4, +2",Solid,600.61,1748.85,11.342,Post-transition metal,Ancient
82,83,Bi,Bismuth,208.9804,9E4FB5,[Xe]6s2 4f14 5d10 6p3,2.02,207.0,7.289,0.946,"+5, +3",Solid,544.55,1563.85,9.807,Post-transition metal,1753
83,84,Po,Polonium,208.98243,AB5C00,[Xe]6s2 4f14 5d10 6p4,2.0,197.0,8.417,1.9,"+4, +2",Solid,527.0,961.85,9.32,Metalloid,1898
84,85,At,Astatine,209.98715,754F45,[Xe]6s2 4f14 5d10 6p5,2.2,202.0,9.5,2.8,"7, 5, 3, 1, -1",Solid,575.0,,7.0,Halogen,1940
85,86,Rn,Radon,222.01757999999998,428296,[Xe]6s2 4f14 5d10 6p6,,220.0,10.745,,0,Gas,202.0,-61.69999999999999,0.009729999999999999,Noble gas,1900
86,87,Fr,Francium,223.01972999999998,420066,[Rn]7s1,0.7,348.0,3.9,0.47,+1,Solid,300.0,,,Alkali metal,1939
87,88,Ra,Radium,226.02541000000002,007D00,[Rn]7s2,0.9,283.0,5.279,,+2,Solid,973.0,1139.85,5.0,Alkaline earth metal,1898
88,89,Ac,Actinium,227.02775,70ABFA,[Rn]7s2 6d1,1.1,260.0,5.17,,+3,Solid,1324.0,3197.85,10.07,Actinide,1899
89,90,Th,Thorium,232.03799999999998,00BAFF,[Rn]7s2 6d2,1.3,237.0,6.08,,+4,Solid,2023.0,4787.85,11.72,Actinide,1828
90,91,Pa,Protactinium,231.0359,00A1FF,[Rn]7s2 5f2 6d1,1.5,243.0,5.89,,"+5, +4",Solid,1845.0,,15.37,Actinide,1913
91,92,U,Uranium,238.0289,008FFF,[Rn]7s2 5f3 6d1,1.38,240.0,6.194,,"+6, +5, +4, +3",Solid,1408.0,4130.85,18.95,Actinide,1789
92,93,Np,Neptunium,237.04817000000003,0080FF,[Rn]7s2 5f4 6d1,1.36,221.0,6.266,,"+6, +5, +4, +3",Solid,917.0,3901.85,20.25,Actinide,1940
93,94,Pu,Plutonium,244.0642,006BFF,[Rn]7s2 5f6,1.28,243.0,6.06,,"+6, +5, +4, +3",Solid,913.0,3227.85,19.84,Actinide,1940
94,95,Am,Americium,243.06137999999999,545CF2,[Rn]7s2 5f7,1.3,244.0,5.992999999999999,,"+6, +5, +4, +3",Solid,1449.0,2010.85,13.69,Actinide,1944
95,96,Cm,Curium,247.07035,785CE3,[Rn]7s2 5f7 6d1,1.3,245.0,6.02,,+3,Solid,1618.0,3126.85,13.51,Actinide,1944
96,97,Bk,Berkelium,247.07031,8A4FE3,[Rn]7s2 5f9,1.3,244.0,6.23,,"+4, +3",Solid,1323.0,,14.0,Actinide,1949
97,98,Cf,Californium,251.07959,A136D4,[Rn]7s2 5f10,1.3,245.0,6.3,,+3,Solid,1173.0,,,Actinide,1950
98,99,Es,Einsteinium,252.083,B31FD4,[Rn]7s2 5f11,1.3,245.0,6.42,,+3,Solid,1133.0,,,Actinide,1952
99,100,Fm,Fermium,257.09511000000003,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,+3,Solid,1800.0,,,Actinide,1952
100,101,Md,Mendelevium,258.09843,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,1955
101,102,No,Nobelium,259.101,BD0D87,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100.0,,,Actinide,1957
102,103,Lr,Lawrencium,266.12,C70066,[Rn]7s2 5f14 6d1,1.3,,,,+3,Solid,1900.0,,,Actinide,1961
103,104,Rf,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,,,,+4,Solid,,,,Transition metal,1964
104,105,Db,Dubnium,268.126,D1004F,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,1967
105,106,Sg,Seaborgium,269.128,D90045,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,1974
106,107,Bh,Bohrium,270.133,E00038,[Rn]7s2 5f14 6d5,,,,,"7, 5, 4, 3",Solid,,,,Transition metal,1976
107,108,Hs,Hassium,269.134,E6002E,[Rn]7s2 5f14 6d6,,,,,"8, 6, 5, 4, 3, 2",Solid,,,,Transition metal,1984
108,109,Mt,Meitnerium,277.154,EB0026,[Rn]7s2 5f14 6d7 (calculated),,,,,"9, 8, 6, 4, 3, 1",Solid,,,,Transition metal,1982
109,110,Ds,Darmstadtium,282.166,,[Rn]7s2 5f14 6d8 (predicted),,,,,"8, 6, 4, 2, 0",Expected to be a Solid,,,,Transition metal,1994
110,111,Rg,Roentgenium,282.16900000000004,,[Rn]7s2 5f14 6d9 (predicted),,,,,"5, 3, 1, -1",Expected to be a Solid,,,,Transition metal,1994
111,112,Cn,Copernicium,286.17900000000003,,[Rn]7s2 5f14 6d10 (predicted),,,,,"2, 1, 0",Expected to be a Solid,,,,Transition metal,1996
112,113,Nh,Nihonium,286.182,,[Rn]5f14 6d10 7s2 7p1 (predicted),,,,,,Expected to be a Solid,,,,Post-transition metal,2004
113,114,Fl,Flerovium,290.192,,[Rn]7s2 7p2 5f14 6d10 (predicted),,,,,"6, 4,2, 1, 0",Expected to be a Solid,,,,Post-transition metal,1998
114,115,Mc,Moscovium,290.19599999999997,,[Rn]7s2 7p3 5f14 6d10 (predicted),,,,,"3, 1",Expected to be a Solid,,,,Post-transition metal,2003
115,116,Lv,Livermorium,293.205,,[Rn]7s2 7p4 5f14 6d10 (predicted),,,,,"+4, +2, -2",Expected to be a Solid,,,,Post-transition metal,2000
116,117,Ts,Tennessine,294.211,,[Rn]7s2 7p5 5f14 6d10 (predicted),,,,,"+5, +3, +1, -1",Expected to be a Solid,,,,Halogen,2010
117,118,Og,Oganesson,295.216,,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,"+6, +4, +2, +1, 0, -1",Expected to be a Gas,,,,Noble gas,2006
